,surname,name,org,region,year
0,БЕКСТРОМ,Род,Исполнительный директор и Президент интернет-корпорации для специализированных имен и адресов (ICANN),США,2010
1,БЕСПАЛОВ,Евгений,Генеральный директор Фонда «Дружественный Рунет»,Россия,2010
2,БОБИН,Максим,"Mail.Ru, вице-президент по правовым вопросам и связям с государственными органами",Россия,2010
3,ВЕБЕР,Рольф,"Заведующий кафедрой права, профессор права Гарвардской школы права",Швейцария,2010
4,ВОЛЧИНСКАЯ,Елена,"Ведущий советник аппарата Комитета Государственной Думы по безопасности, кандидат экономических наук.",Россия,2010
5,ГОMEC,Чак,Председатель Совета GNSO,США,2010
6,ГОРЕЛИК,Александр,Директор Информационного центра ООН в Москве,Россия,2010
7,ГРИШАНКОВ,Михаил,"Депутат Государственной Думы Федерального Собрания Российской Федерации III, IV и V созывов",Россия,2010
8,ДАМ,Тина,"Старший директор по IDN, ICANN",USA,2010
9,ДЕМИДОВ,Алексей,Председатель правления Межрегиональной  общественной организации в поддержку развития информационного общества  «Информация для всех» ,Россия,2010
10,ДИССПАЙН,Крис,Исполнительный Директор au Domain Administration Ltd (auDA),Австралия,2010
11,ДОЛДЕРЕР,Сабина,Директор и член Исполнительного Совета DENIC,Германия,2010
12,ЗИНИНА,Ульяна,"Кандидат юридических наук, ведущий юрисконсульт ООО «ЯНДЕКС»",Россия,2010
13,ИЛЬИН,Вячеслав,Заведующий лабораторией НИИЯФ МГУ ,Россия,2010
14,КАДЕР,Михаил,Заслуженный системный инженер Cisco ,Россия,2010
15,КЛЕЙНВАХТЕР,Вольфганг,Профессор международной политики и регулированию в коммуникационной сфере Университета Аархуса (Дания),Германия,2010
16,КОЛЕСНИКОВ,Андрей,"Координационный центр национального домена сети интернет, Директор",Россия,2010
17,КОУЛИ,Лесли,Исполнительный Директор Nominet,США,2010
18,КУММЕР,Маркус,Исполнительный координатор Секретариата форума управления интернетом (IGF),Швейцария,2010
19,ЛУКАЦКИЙ,Алексей,"Менеджер по развитию бизнеса, Cisco",Россия,2010
20,МАРKОВСКИ,Вени,"Региональный представитель по России, СНГ и Восточной Европе, ICANN",Болгария,2010
21,МАРШАЛЕК,Томас,Председатель CZ.NIC,Чехия,2010
22,MИЛОШЕВИЧ,Дезире,"Советник по международным и политическим делам,  Afilias",Великобритания,2010
23,НИКЕРОВА,Марина,"ЗАО «Технический Центр Интернет», первый заместитель генерального директора",Россия,2010
24,РОБАЧЕВСКИЙ,Андрей,Главный технический директор RIPE NCC,Нидерланды,2010
25,ПАУЛИК,Аксель,Управляющий директор Координационного центра RIPE,Нидерланды,2010
26,САМОЙЛЕНКО,Наталья,Заместитель генерального директора Благотворительного фонда В.Потанина,Россия,2010
27,СОЛДАТОВ,Алексей,Заместитель Министра связи и массовых коммуникаций Российской Федерации,Россия,2010
28,СОЛДАТОВА,Галина,Директор Фонда Развития Интернет,Россия,2010
29,СПАСОВА,Альбена,Адъюнкт-профессор университета Lille-1,Франция,2010
